,aatrox,ahri,akali,alistar,amumu,anivia,annie,ashe,aurelionsol,azir,bard,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,quinn,rakan,rammus,reksai,renekton,rengar,riven,rumble,ryze,sejuani,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vi,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yorick,zac,zed,ziggs,zilean,zoe,zyra
lulu,0,76,1,123,1,4,22,125,2,11,22,2,1,108,131,50,61,25,112,5,10,12,8,50,167,8,146,0,51,25,42,21,0,70,217,147,22,0,0,10,29,70,97,9,54,58,48,0,79,13,4,25,3,2,3,39,103,30,24,120,57,179,18,26,197,1369,2,11,3,107,0,6,0,1,41,23,1,159,0,59,4,24,41,113,0,3,59,0,10,0,8,167,68,112,3,82,53,50,1,97,6,0,9,96,1,0,0,4,0,102,14,60,17,2,0,97,94,68,0,7,31,8,11,123,25,2,2,4,42,43,1,4,18,7,0,9,2,21,44,8,9,0,2
lux,0,0,0,15,0,0,0,2,0,0,12,0,0,15,8,1,1,3,12,0,0,2,1,1,17,0,11,0,14,0,0,5,0,8,19,11,1,0,0,0,0,2,2,1,0,3,2,0,19,1,0,0,0,0,1,0,1,11,0,2,0,4,0,1,29,2,100,8,1,3,0,2,0,0,9,1,0,10,0,11,0,0,1,2,0,0,15,0,6,0,0,17,0,0,0,3,2,3,0,5,0,0,0,4,0,0,5,0,0,0,10,0,0,0,0,15,4,18,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
malphite,0,16,0,29,0,2,0,4,0,1,10,0,0,34,7,0,1,0,27,0,1,1,0,0,36,2,19,0,0,3,0,8,0,0,25,11,1,0,0,0,0,12,3,0,0,2,6,0,27,2,0,3,1,0,0,6,6,10,0,6,7,10,0,10,35,11,8,153,0,2,0,4,0,0,13,5,0,2,0,7,3,1,0,20,0,3,3,0,4,1,0,21,0,2,0,3,2,1,0,2,0,0,1,8,0,2,2,0,0,3,2,0,0,0,0,17,8,8,0,2,2,1,0,2,8,1,0,2,21,3,0,0,1,1,0,6,0,1,8,0,0,0,0
malzahar,1,25,1,30,0,1,0,109,0,4,12,1,1,52,58,27,31,10,55,1,0,0,2,31,73,5,50,0,25,5,2,46,0,50,67,73,8,0,4,10,30,10,22,6,33,132,3,0,17,20,0,7,8,0,0,17,110,4,10,14,12,75,0,1,42,3,1,0,638,85,0,9,0,0,4,7,1,58,0,14,2,1,25,52,8,0,45,0,0,8,0,66,36,43,2,31,47,16,0,71,6,4,4,50,1,2,7,7,0,53,41,15,7,17,0,10,14,31,0,5,4,0,0,121,2,0,1,0,18,9,0,2,9,0,1,1,2,9,7,7,3,0,4
maokai,0,95,0,198,0,12,69,143,11,136,54,22,2,211,109,11,120,32,257,0,13,0,10,46,132,39,148,2,2,19,16,11,0,22,153,188,14,1,0,6,20,147,135,7,54,182,36,0,168,196,14,45,10,3,7,15,184,66,7,85,96,163,29,37,191,107,3,2,85,1860,1,53,0,4,62,80,1,65,0,113,5,26,26,160,0,9,9,0,1,39,4,265,11,80,2,8,112,69,2,18,4,0,1,272,1,6,15,9,0,119,38,67,9,31,0,243,106,46,0,48,28,0,24,192,35,6,3,23,149,46,1,7,53,17,1,15,0,10,56,16,19,1,100
masteryi,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missfortune,0,9,0,13,0,4,0,55,3,7,3,0,2,4,6,13,5,0,27,2,0,5,0,13,31,1,3,0,9,2,2,13,0,7,12,19,0,0,1,1,19,3,1,1,23,43,0,0,0,9,2,1,3,1,0,4,39,1,1,0,5,33,1,7,0,6,2,4,9,53,0,236,0,0,11,3,0,18,0,11,1,0,10,35,0,0,25,0,2,1,0,43,2,12,0,10,22,4,0,25,0,2,5,1,0,0,1,2,0,23,9,9,2,3,0,6,0,15,0,1,0,0,0,41,0,0,2,0,24,4,0,1,0,1,0,0,0,0,3,2,0,0,9
monkeyking,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
mordekaiser,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,2,3,0,0,0,0,0,0,2,0,1,0,0,1,1,0,2,1,0,0,0,4,0,0,0,17,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,1,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
morgana,0,34,1,13,0,4,4,22,1,38,2,1,0,3,43,7,25,20,97,5,6,10,9,25,65,12,41,0,27,11,10,16,0,52,111,49,29,0,1,14,0,11,65,9,16,25,37,0,93,9,1,22,0,3,0,13,15,16,2,36,29,49,5,41,68,41,9,13,4,62,1,11,0,0,595,4,0,29,0,47,0,11,3,31,0,4,40,0,2,0,1,108,15,15,2,31,36,23,0,32,4,0,14,62,0,0,0,2,0,24,6,19,0,0,0,14,47,40,0,4,4,5,5,35,12,4,2,15,36,10,0,0,8,9,0,4,0,9,30,2,6,0,0
nami,0,34,0,1,1,7,0,83,6,39,0,0,0,0,53,12,41,1,47,0,1,11,2,34,100,2,104,0,10,14,6,8,0,36,64,66,11,0,1,45,11,0,34,5,31,69,5,0,9,16,1,18,7,2,0,10,81,13,11,32,43,75,0,18,73,23,1,5,7,80,0,3,1,0,4,636,0,50,0,26,4,3,21,70,0,2,24,0,0,0,3,97,21,54,0,62,49,4,0,65,2,0,3,66,0,0,0,15,0,52,1,9,12,0,1,0,22,38,1,10,10,0,2,66,6,0,0,0,52,30,0,0,2,9,0,8,0,3,26,2,13,0,0
nasus,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
nautilus,0,64,0,86,0,3,5,145,3,71,28,5,6,76,49,4,67,6,145,0,5,2,2,51,125,19,146,0,12,26,2,15,0,27,148,176,39,0,1,10,26,19,14,1,33,113,22,0,80,116,8,16,8,3,0,13,109,43,1,35,60,127,3,31,145,159,10,2,58,65,0,18,0,4,29,50,0,1159,0,64,2,12,12,97,0,1,27,0,13,0,3,131,4,89,2,63,66,25,1,18,8,0,9,150,0,2,6,2,0,98,28,37,14,6,0,65,22,43,0,19,10,1,22,150,16,1,2,3,87,51,0,1,5,7,0,10,0,6,34,8,18,0,75
neeko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nidalee,0,24,1,139,0,14,17,63,3,66,49,4,4,165,60,7,32,3,95,2,4,4,4,39,2,0,99,0,28,17,9,42,0,82,12,26,14,0,6,38,0,43,7,6,22,53,17,0,81,53,1,14,0,1,0,14,6,1,4,24,37,2,10,42,146,59,11,7,14,113,0,11,0,0,47,26,0,64,0,775,0,0,4,25,2,0,81,0,12,3,8,5,21,2,1,16,30,1,0,51,0,1,8,94,0,1,14,10,0,14,35,16,9,17,1,72,21,99,0,35,8,0,6,69,11,1,3,3,73,23,0,0,5,1,0,4,0,0,32,4,21,2,15
nocturne,0,2,0,3,0,0,4,7,0,1,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,4,0,0,1,0,2,0,2,1,0,1,0,2,0,1,2,0,2,1,0,0,2,0,0,1,1,1,0,0,3,3,4,0,3,2,5,0,1,0,0,0,4,0,2,0,0,32,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,4,0,0,5,0,0,0,6,0,0,1,0,0,5,0,0,0,0,0,2,1,0,0,0,2,0,0,4,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,4
nunu,0,11,0,25,0,0,11,0,0,23,8,4,1,5,11,0,13,3,18,0,1,1,1,2,0,0,6,0,4,9,2,2,0,17,1,5,18,1,0,2,0,26,3,1,4,1,9,0,18,4,3,6,1,0,0,3,1,0,1,17,7,3,3,1,23,24,0,1,1,26,0,0,1,0,11,3,0,12,0,0,0,150,1,11,0,0,1,0,0,1,0,0,1,0,0,19,3,2,0,4,5,0,4,26,0,0,0,0,0,9,1,3,0,1,0,31,8,4,0,0,3,0,8,6,5,0,0,0,5,6,0,1,3,2,0,1,2,0,2,1,0,0,1
olaf,0,10,0,27,0,3,9,45,4,23,22,5,0,33,39,11,32,1,20,1,3,1,4,17,18,1,49,0,14,4,21,6,0,20,20,13,3,0,0,11,0,20,11,8,16,42,9,0,22,87,0,6,4,1,0,21,0,1,7,4,13,5,2,9,21,41,1,0,25,26,0,10,0,0,3,21,0,12,0,4,0,1,393,51,0,0,17,0,0,7,0,19,13,4,1,40,26,3,0,37,0,1,1,67,0,0,2,2,0,32,20,16,1,5,0,48,13,26,0,2,7,0,0,43,5,1,1,0,38,14,0,0,9,1,0,1,0,2,8,3,13,1,28
orianna,3,0,1,98,1,0,15,170,0,1,26,30,10,134,121,63,1,40,31,3,0,7,8,11,130,9,87,1,38,15,38,14,0,102,211,119,7,0,0,14,23,74,176,18,29,112,14,0,106,128,0,1,1,6,3,56,152,14,39,47,0,170,7,5,72,113,2,20,52,160,1,35,0,3,31,70,0,97,0,25,3,11,51,1314,3,5,47,0,2,60,1,125,95,99,3,96,11,58,0,123,8,1,10,61,1,9,6,2,0,0,81,0,0,22,0,191,107,44,0,0,34,2,3,195,19,0,1,2,0,5,0,5,95,0,1,4,0,43,0,1,6,0,83
ornn,0,0,0,3,0,0,0,0,0,25,0,0,0,18,5,2,3,1,3,0,0,1,0,0,0,3,9,1,0,0,2,3,0,2,1,0,0,0,0,0,0,4,22,1,2,0,0,0,5,1,0,0,0,0,0,0,7,0,0,9,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,67,0,0,0,0,3,0,0,0,4,0,0,15,15,0,0,3,0,1,2,1,0,0,0,0,0,15,0,0,9,0,2,15,0,0,0,0,0,0,12,5,1,0,0,0,2,0,0,5,1,0,0,0,5,0,0,1,3,0
pantheon,0,6,0,1,0,1,0,2,0,2,2,0,0,3,1,0,0,0,8,0,0,0,0,1,5,0,6,0,0,1,0,1,0,4,5,2,0,0,0,3,0,3,0,2,1,2,2,0,3,4,0,3,0,0,0,0,0,1,0,2,2,3,0,6,7,3,0,3,0,9,0,0,0,0,4,2,0,1,0,0,0,0,0,5,0,41,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,2,0,2,1,0,0,4,2,0,0,0,0,15,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0
poppy,0,32,0,107,0,11,1,68,5,72,46,1,2,124,62,0,38,3,114,0,2,0,1,15,175,4,117,0,7,3,1,19,0,1,92,107,1,0,0,0,19,29,4,4,14,88,2,0,90,81,0,11,6,1,0,1,46,60,0,13,57,75,6,61,170,59,15,3,45,9,1,25,0,0,40,24,0,27,0,81,1,1,17,47,0,0,841,0,13,6,1,80,0,26,0,8,67,5,0,7,1,0,1,78,1,1,13,0,0,55,36,18,0,4,0,97,23,63,0,13,5,1,0,72,6,1,8,1,75,15,0,0,8,1,0,0,0,8,16,6,23,0,37
pyke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quinn,0,4,0,22,0,0,0,1,0,0,9,0,0,11,5,0,0,0,18,0,0,0,1,0,23,1,7,0,0,0,0,1,0,1,14,5,0,0,0,0,0,11,0,0,1,3,0,0,20,0,0,1,0,0,0,0,0,2,0,6,9,7,0,5,23,10,6,4,0,1,0,2,0,0,2,0,0,13,0,12,0,0,0,2,0,0,13,0,87,0,1,12,0,0,0,4,1,1,0,2,0,0,0,3,0,0,1,0,0,1,5,0,1,0,0,12,2,9,0,8,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0
rakan,2,2,1,0,1,3,0,19,2,3,0,0,0,0,10,23,36,36,46,0,0,0,0,8,33,0,0,0,5,1,49,1,0,41,109,7,3,1,0,1,6,0,77,15,10,9,0,0,63,4,0,9,0,0,3,12,16,1,20,7,17,33,0,0,14,0,0,1,8,39,0,1,0,1,0,0,1,0,0,3,1,1,7,60,3,0,6,0,0,383,1,48,35,3,0,33,7,28,0,40,0,0,0,6,0,0,0,1,0,50,0,41,1,0,0,0,34,9,0,0,10,0,0,28,1,1,4,0,11,17,0,7,193,0,1,0,0,25,2,3,0,1,0
rammus,0,5,0,12,0,2,0,2,0,6,6,0,0,18,3,0,2,0,18,0,1,0,0,1,8,0,2,0,2,0,0,2,0,0,20,0,0,0,0,2,0,1,1,0,0,7,1,0,11,0,0,0,0,0,0,0,0,4,0,3,5,4,0,4,19,8,0,0,0,4,0,0,0,0,1,3,0,3,0,8,0,0,0,1,0,0,1,0,1,1,63,3,0,0,1,1,1,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,11,3,6,0,1,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,3,0,0
reksai,0,85,4,264,0,29,71,224,7,170,150,29,5,336,142,33,162,38,299,11,22,18,9,122,0,2,196,0,83,71,37,82,0,237,53,46,74,0,9,111,0,132,43,48,51,227,44,0,231,231,8,80,8,2,0,59,0,0,20,76,155,1,33,113,323,167,17,21,66,265,1,43,0,1,108,97,0,131,0,5,0,0,19,125,0,0,80,0,12,48,3,2330,53,1,13,206,144,0,0,187,8,1,15,296,0,7,31,51,0,90,110,102,3,36,1,327,98,181,1,62,34,0,25,152,46,9,4,1,287,128,0,0,54,20,0,15,1,3,44,12,37,0,99
renekton,0,38,0,32,0,2,8,88,2,8,15,14,4,99,77,1,45,3,66,0,0,0,3,22,144,3,31,1,0,5,39,0,0,0,113,33,0,0,0,0,12,14,26,1,8,58,8,0,51,67,0,25,2,0,0,1,48,1,0,28,28,66,1,2,26,68,0,0,36,11,0,2,0,1,15,21,0,4,0,21,0,1,13,95,0,0,0,0,0,35,0,53,634,43,0,1,20,21,0,2,0,0,1,38,0,2,1,1,0,69,49,60,7,4,0,103,36,8,0,3,24,0,0,103,0,0,1,1,28,17,0,4,52,2,0,0,0,23,5,8,6,0,48
rengar,0,43,1,15,0,0,13,107,6,12,7,6,4,28,48,23,36,4,49,4,1,3,4,19,0,0,82,0,11,15,8,13,0,21,34,12,2,0,0,7,0,30,6,1,29,103,3,0,23,119,2,17,3,1,0,14,0,0,9,9,34,1,11,12,38,112,0,2,43,80,0,12,0,3,15,54,1,89,0,2,0,0,4,99,4,0,26,0,0,3,0,1,43,616,0,83,46,1,0,76,0,3,6,54,0,3,5,2,0,71,43,34,11,3,0,39,9,7,0,5,12,0,0,70,5,2,0,0,25,32,0,1,7,7,0,1,0,0,12,10,15,0,68
riven,0,1,0,16,0,0,1,6,0,4,1,0,0,6,1,0,2,1,7,0,0,0,0,2,9,1,2,0,0,1,1,0,0,0,8,2,0,0,0,0,1,3,0,0,0,4,5,0,4,5,0,2,0,0,0,6,1,2,0,0,7,9,0,1,5,3,0,0,2,2,0,0,0,1,2,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,1,13,0,0,54,0,0,0,0,1,0,0,0,10,2,0,1,0,0,0,1,3,0,1,0,7,2,2,0,3,1,0,0,2,3,0,0,1,10,0,0,0,2,0,0,0,0,1,3,1,0,0,1
rumble,0,46,0,136,1,3,42,121,3,42,20,13,1,113,88,8,56,5,159,0,6,0,4,22,59,24,88,0,2,7,43,4,0,1,106,101,13,0,0,5,14,87,88,0,105,123,23,0,84,109,0,24,4,1,1,8,91,6,1,37,52,166,11,20,112,82,3,3,31,8,1,10,0,1,31,62,0,63,0,16,2,19,40,96,0,2,8,0,4,33,1,206,1,83,0,1143,34,52,0,7,1,0,0,127,2,8,9,2,0,63,66,50,28,7,0,156,58,23,0,10,23,0,16,148,26,3,0,9,64,36,0,4,40,10,1,13,0,18,60,4,12,0,67
ryze,0,11,0,67,0,0,5,101,0,12,32,6,2,117,74,25,5,12,40,3,2,7,3,33,89,13,121,0,26,11,4,19,0,49,80,92,17,0,6,22,25,37,37,8,27,95,10,0,43,128,1,2,0,0,1,20,129,39,5,28,5,68,8,3,99,53,2,2,47,112,0,22,0,0,36,49,1,66,0,30,4,3,26,11,15,3,67,0,1,7,1,144,20,46,0,34,883,23,0,71,8,4,2,99,1,3,13,6,0,5,58,0,3,25,0,73,48,68,0,7,17,0,3,98,10,3,1,1,21,6,0,5,7,1,1,7,0,15,17,7,10,0,59
sejuani,0,9,0,85,0,2,9,14,2,32,10,7,2,117,31,28,48,49,78,0,5,4,3,4,4,0,18,1,9,7,25,18,0,81,7,18,26,0,1,10,1,58,45,13,27,12,21,0,69,18,6,15,0,0,0,22,2,0,11,46,20,4,2,11,54,50,3,1,16,69,0,4,1,0,23,4,0,25,0,1,0,2,3,58,15,1,5,0,1,28,0,0,21,1,0,52,23,580,0,41,3,0,6,64,0,2,1,0,0,32,23,41,2,27,0,85,74,18,0,5,16,0,25,69,11,1,4,0,16,22,0,0,53,9,1,1,0,0,15,9,6,5,5
shaco,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shen,0,62,1,88,0,16,10,180,10,70,65,15,6,163,112,15,94,7,132,2,11,4,8,34,155,21,104,0,8,13,14,4,0,14,179,113,50,1,0,1,32,51,49,0,28,138,11,0,87,185,1,34,8,3,2,19,130,25,0,66,84,107,12,19,121,97,5,2,71,18,0,25,0,0,32,65,0,18,0,51,5,4,37,123,0,0,7,0,2,40,1,187,2,76,1,7,71,41,0,1340,1,0,1,150,0,5,7,3,0,104,59,68,6,39,0,136,94,43,0,16,31,1,5,169,16,3,4,4,107,67,0,8,47,3,0,2,0,31,18,12,14,3,101
shyvana,0,2,0,10,0,0,1,2,0,8,1,0,0,5,2,1,2,1,5,0,0,0,1,0,0,2,5,1,0,0,0,4,1,6,14,0,0,0,0,0,0,6,1,0,1,0,7,0,10,2,0,4,0,0,0,2,0,0,0,3,3,3,0,0,3,6,0,0,6,4,0,0,1,0,4,2,0,8,0,0,0,5,0,8,3,0,1,0,0,0,0,8,0,0,0,1,8,3,0,1,63,0,0,8,0,0,0,0,0,0,6,0,0,3,0,13,6,1,0,0,0,0,4,9,4,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0
singed,0,0,0,0,0,1,0,7,0,0,2,0,0,2,0,0,2,0,7,0,0,0,0,1,3,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0,1,2,4,0,2,8,0,0,1,6,0,0,1,0,0,0,11,0,0,0,1,4,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,31,0,0,0,0,0,0,0,2,3,3,0,1,0,6,2,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3
sion,0,15,1,5,0,0,12,7,1,10,2,2,0,4,5,0,5,1,18,0,4,0,2,2,8,0,10,0,0,0,0,1,0,1,17,16,2,0,0,0,0,24,18,0,0,8,14,0,11,0,0,6,2,0,0,2,2,1,0,10,6,12,2,6,4,9,0,1,4,1,0,5,0,0,14,3,0,9,0,8,0,4,1,10,1,0,1,0,0,0,0,15,1,6,0,0,2,6,0,1,0,0,119,16,0,0,0,0,0,3,2,3,0,0,1,15,6,3,0,1,1,4,3,4,4,0,1,2,3,3,0,0,1,5,0,2,0,3,2,1,2,1,3
sivir,0,70,0,239,0,21,82,0,8,153,104,4,4,235,0,18,103,33,39,4,25,5,0,124,205,43,23,0,29,57,6,59,0,205,340,109,118,1,3,107,7,113,114,24,22,0,0,0,0,210,4,74,0,2,0,31,35,66,1,10,115,95,34,99,3,96,4,8,50,272,1,1,0,1,62,66,2,150,0,94,6,26,67,61,2,2,78,0,3,6,8,296,38,54,10,127,99,64,2,150,8,0,16,1682,1,6,28,20,0,41,59,35,3,49,0,169,0,172,0,63,0,2,5,46,0,5,2,15,190,116,0,3,0,32,0,12,1,9,29,9,25,1,15
skarner,0,0,0,2,0,0,0,2,0,4,0,0,0,3,3,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,17,0,0,0,0,1,3,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sona,1,6,0,0,0,0,0,6,0,0,0,0,0,0,3,1,2,1,9,0,0,3,0,4,6,1,4,0,0,3,1,0,0,4,5,5,3,0,0,4,0,0,7,0,0,2,0,0,2,0,0,1,0,0,0,0,6,0,0,2,0,3,0,2,10,0,0,2,2,6,0,0,0,0,0,0,0,2,0,1,0,0,0,9,0,2,1,0,0,0,0,7,2,3,0,8,3,2,0,5,0,0,0,6,0,50,0,0,0,2,1,5,0,0,0,0,3,3,0,1,1,0,0,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0
soraka,0,5,0,0,0,4,0,15,2,18,0,0,0,0,9,2,5,4,9,1,0,0,0,17,25,1,26,0,4,7,0,4,0,14,20,14,2,0,1,14,2,0,8,4,2,12,0,0,7,2,0,0,0,0,0,1,1,10,1,2,5,7,0,3,30,0,5,2,7,15,0,1,0,0,0,0,0,6,0,14,1,0,2,6,0,1,13,0,1,0,0,31,1,5,1,9,13,1,0,7,0,0,0,28,0,0,146,3,0,7,3,6,0,0,0,0,5,16,0,5,5,1,0,8,0,0,2,1,12,15,0,0,1,1,0,0,0,1,1,0,1,0,0
swain,0,1,0,10,0,1,0,18,1,15,15,2,1,41,17,2,2,0,2,0,0,0,1,11,13,0,22,0,3,9,0,4,0,4,12,25,7,0,2,9,1,2,2,4,0,26,1,0,2,32,0,2,0,0,0,0,5,12,0,0,2,7,0,6,35,4,0,0,7,9,0,2,0,0,2,15,0,2,0,10,0,0,2,2,0,0,0,0,0,1,0,51,1,2,0,2,6,0,1,3,0,0,0,20,0,0,3,151,0,2,4,2,1,2,0,4,4,7,0,3,1,0,0,6,2,0,0,0,14,9,0,0,1,0,0,0,0,0,1,1,3,0,3
sylas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syndra,1,0,0,51,0,0,3,148,0,0,26,25,2,110,96,49,1,28,13,2,0,8,2,10,134,4,74,2,25,12,24,16,0,81,163,101,5,0,2,13,28,29,95,11,25,115,8,0,59,128,0,2,0,2,6,30,128,3,30,27,0,128,3,1,55,102,0,3,53,119,0,23,0,1,24,52,0,98,0,14,5,9,32,0,0,4,55,0,1,50,1,90,69,71,0,63,5,32,1,104,0,2,3,41,1,2,7,2,0,993,56,0,0,12,0,130,70,20,0,0,24,1,2,175,1,0,3,0,0,3,0,8,68,0,0,0,3,29,0,6,4,0,74
tahmkench,0,21,0,25,0,6,0,121,5,37,6,2,0,12,71,29,55,15,68,3,0,2,0,30,130,5,68,0,32,7,25,50,0,80,147,75,11,0,2,7,16,6,69,11,36,145,12,0,40,33,4,22,4,1,2,22,69,11,21,39,41,77,0,23,65,14,10,2,41,38,0,9,0,0,6,1,1,28,0,35,0,1,20,81,15,2,36,0,5,0,0,110,49,43,1,66,58,23,0,59,6,3,2,59,3,1,3,4,0,56,820,39,4,1,1,14,44,32,0,5,22,0,0,118,3,4,5,1,54,42,0,2,17,1,2,4,0,23,12,8,7,5,3
