,aatrox,ahri,akali,alistar,amumu,anivia,annie,ashe,aurelionsol,azir,bard,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,quinn,rakan,rammus,reksai,renekton,rengar,riven,rumble,ryze,sejuani,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vi,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yorick,zac,zed,ziggs,zilean,zoe,zyra
jhin,0,30,1,77,0,9,0,0,12,56,74,11,8,142,1,44,114,16,128,1,0,1,0,83,169,5,3,0,42,4,16,77,0,86,211,146,27,0,4,49,35,15,44,19,86,1376,0,0,0,243,3,26,14,2,3,26,168,24,22,1,56,139,10,28,15,58,3,2,132,182,0,43,0,2,25,69,0,113,0,53,0,1,42,112,0,2,88,0,3,9,7,227,58,103,4,123,95,12,0,138,0,8,8,0,4,2,12,26,0,115,145,89,8,28,1,136,0,128,0,16,0,0,0,32,0,2,7,1,97,81,0,5,0,6,0,3,0,18,27,3,19,0,145
jinx,0,21,0,26,0,3,12,0,0,24,2,2,0,20,0,0,13,5,7,9,5,2,0,10,22,2,5,0,4,4,3,2,0,29,54,3,17,0,1,9,1,31,17,4,6,0,253,0,0,5,2,8,1,1,0,6,5,3,2,5,21,24,5,7,0,48,2,6,3,36,0,0,0,0,37,5,0,22,0,17,2,9,9,14,0,2,2,0,0,0,1,44,8,3,5,23,10,21,0,11,7,0,14,0,1,0,0,1,0,8,12,2,2,1,0,73,0,4,0,14,0,4,0,4,0,0,1,8,15,6,0,0,0,6,0,2,0,2,8,4,2,0,1
kaisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kalista,0,72,1,227,0,8,47,0,4,83,43,31,4,192,0,38,66,38,129,12,12,12,0,52,172,13,11,0,69,14,39,41,1,125,228,93,35,0,1,19,0,59,134,21,31,0,0,0,1306,14,8,31,2,3,5,51,42,57,29,6,81,106,13,82,12,79,19,27,17,168,2,0,1,2,93,9,3,80,0,81,1,18,22,106,5,3,90,0,20,63,11,231,51,23,4,84,43,69,0,87,10,1,11,0,0,2,7,2,0,59,40,64,1,21,0,334,0,87,0,37,0,3,3,18,0,2,5,11,118,40,1,4,0,10,1,8,0,32,30,5,16,3,7
karma,1,56,0,28,2,15,0,257,11,84,27,4,2,71,179,67,100,6,73,2,1,0,5,100,232,6,251,0,47,36,34,43,0,111,241,199,58,0,9,72,53,7,50,21,73,243,5,0,14,1645,1,30,9,0,1,60,155,43,25,27,62,163,1,32,162,13,1,2,20,196,0,9,0,3,9,16,0,116,0,53,2,4,87,128,1,4,81,0,0,4,0,231,67,119,5,109,128,18,3,185,2,6,0,210,4,0,2,32,0,128,33,73,20,9,1,16,33,123,0,23,26,0,2,201,8,2,0,0,124,75,1,4,24,5,0,5,1,24,21,16,27,1,17
karthus,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,3,1,4,0,0,2,0,2,0,2,2,6,3,0,0,4,0,9,7,0,0,3,2,0,8,1,43,0,0,0,1,3,1,0,1,2,0,4,2,1,3,4,0,0,0,14,0,2,0,0,1,1,1,8,0,1,0,3,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,6,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,6,1,3,0,0,0,0,2,2,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
kassadin,1,3,0,43,0,0,18,35,0,1,13,10,1,51,27,9,2,7,36,2,0,5,3,12,47,4,20,0,18,4,6,18,0,44,80,47,15,0,0,22,1,55,44,10,1,26,8,0,31,30,0,426,0,0,1,10,19,8,5,3,6,42,9,10,60,25,0,3,7,45,0,1,0,0,22,18,0,16,0,14,2,6,6,1,0,3,11,0,1,9,0,80,25,17,2,24,2,15,0,34,4,0,6,74,0,1,0,2,0,2,22,1,0,14,0,53,29,28,0,0,10,0,1,22,5,1,0,6,0,3,0,1,17,0,0,0,0,11,7,1,1,0,10
katarina,0,0,0,0,0,0,1,15,0,0,0,0,0,3,4,3,0,0,0,1,0,0,0,0,6,0,5,0,1,0,0,3,0,0,4,6,0,0,0,0,4,1,3,0,2,14,1,0,2,9,0,0,59,1,0,1,11,0,1,2,0,7,0,1,4,3,0,1,8,10,0,3,0,0,0,7,0,8,0,0,1,1,4,1,0,0,6,0,0,0,0,8,2,3,0,4,0,0,0,8,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,9,3,2,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,8
kayle,0,4,0,3,0,1,0,1,0,0,0,1,0,7,2,2,0,0,1,0,0,0,0,2,9,0,1,0,0,1,0,2,0,0,4,1,0,0,0,0,0,3,0,0,1,2,1,0,3,0,0,0,1,39,0,0,6,0,2,3,0,11,0,2,9,2,0,0,0,3,1,1,0,0,3,2,0,3,0,1,0,0,1,6,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,6,6,1,0,0,4,0,0,4,0,0,0,1,1,0,0,0,1,2,0,2,0,0,3,0,1,0,2
kayn,0,0,0,4,0,2,0,5,0,1,2,2,0,7,3,1,3,6,2,0,0,0,1,0,1,0,0,1,0,0,5,0,1,2,4,0,0,0,0,0,0,1,4,0,0,3,0,0,5,1,1,1,0,0,35,0,0,0,0,2,2,0,0,0,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,6,2,4,0,1,0,7,8,5,0,0,1,0,2,2,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0
